"Away"  "Draw"  "Home"
"1"  0.15  0.16  0.7
"2"  0.22  0.31  0.47
"3"  0.51  0.21  0.28
"4"  0.12  0.34  0.55
"5"  0.21  0.07  0.71
"6"  0.08  0.41  0.52
"7"  0.74  0.06  0.2
"8"  0.29  0.23  0.48
"9"  0.41  0.31  0.29
"10"  0.35  0.14  0.51
"11"  0.15  0.48  0.37
"12"  0.44  0.25  0.31
"13"  0.32  0.13  0.55
"14"  0.7  0.13  0.18
"15"  0  0.19  0.81
"16"  0.26  0.31  0.43
"17"  0.36  0.32  0.32
"18"  0.61  0.29  0.1
"19"  0.55  0.36  0.09
"20"  0.3  0.31  0.39
"21"  0.54  0.29  0.18
"22"  0.47  0.31  0.22
"23"  0.16  0.49  0.35
"24"  0.5  0.1  0.39
"25"  0.34  0.31  0.35
"26"  0.3  0.15  0.55
"27"  0.28  0.34  0.37
"28"  0.81  0.06  0.12
"29"  0.12  0.12  0.76
"30"  0.11  0.28  0.61
"31"  0.62  0.09  0.29
"32"  0.04  0.35  0.61
"33"  0.53  0.21  0.27
"34"  0.38  0.32  0.29
"35"  0.3  0.37  0.34
"36"  0  0.23  0.77
"37"  0.5  0.23  0.27
"38"  0.29  0.54  0.18
"39"  0.74  0.19  0.07
"40"  0.6  0.26  0.14
"41"  0.53  0.14  0.33
"42"  0.5  0.32  0.18
"43"  0.38  0.26  0.36
"44"  0.31  0.38  0.31
"45"  0.36  0.49  0.14
"46"  0.07  0.41  0.52
"47"  0.86  0.07  0.07
"48"  0.79  0.15  0.06
"49"  0.16  0.1  0.74
"50"  0.15  0.48  0.38
"51"  0.19  0.17  0.65
"52"  0.28  0.27  0.45
"53"  0.18  0.33  0.49
"54"  0.15  0.15  0.7
"55"  0  0.23  0.77
"56"  0.62  0.21  0.17
"57"  0.13  0.12  0.75
"58"  0.45  0.26  0.3
"59"  0.29  0.41  0.3
"60"  0.62  0.11  0.27
"61"  0.4  0.46  0.14
"62"  0.91  0.05  0.04
"63"  0.21  0.13  0.66
"64"  0.1  0.45  0.45
"65"  0.29  0.38  0.32
"66"  0.68  0.24  0.08
"67"  0.14  0.32  0.53
"68"  0.18  0.33  0.49
"69"  0.26  0.18  0.55
"70"  0.37  0.24  0.39
"71"  0.43  0.28  0.29
"72"  0.58  0.23  0.18
"73"  0.45  0.13  0.42
"74"  0  0.27  0.73
"75"  0.23  0.12  0.66
"76"  0.19  0.53  0.28
"77"  0.51  0.13  0.36
"78"  0.22  0.42  0.36
"79"  0.08  0.37  0.56
"80"  0.63  0.25  0.12
"81"  0.42  0.42  0.16
"82"  0.86  0.09  0.04
"83"  0.57  0.22  0.21
"84"  0  0.2  0.8
"85"  0.25  0.19  0.55
"86"  0.37  0.25  0.38
"87"  0.83  0.1  0.07
"88"  0.14  0.14  0.71
"89"  0.75  0.15  0.09
"90"  0.22  0.18  0.6
"91"  0.16  0.33  0.51
"92"  0.12  0.41  0.47
"93"  0.25  0.53  0.22
"94"  0.41  0.22  0.38
"95"  0.41  0.33  0.25
"96"  0.92  0.02  0.05
"97"  0.15  0.17  0.68
"98"  0.38  0.41  0.21
"99"  0.12  0.57  0.3
"100"  0.15  0.4  0.46
"101"  0.63  0.23  0.13
"102"  0.34  0.24  0.42
"103"  0.26  0.18  0.56
"104"  0.35  0.27  0.38
"105"  0.55  0.26  0.19
"106"  0.23  0.21  0.56
"107"  0.43  0.13  0.44
"108"  0  0.18  0.82
"109"  0.5  0.24  0.26
"110"  0.13  0.14  0.73
"111"  0.37  0.37  0.26
"112"  0.43  0.14  0.43
"113"  0.08  0.3  0.62
"114"  0.2  0.15  0.65
"115"  0.24  0.44  0.32
"116"  0.17  0.39  0.44
"117"  0.3  0.42  0.27
"118"  0.57  0.24  0.19
"119"  0.74  0.15  0.11
"120"  0.28  0.26  0.46
"121"  0.24  0.19  0.57
"122"  0.63  0.22  0.15
"123"  0.24  0.17  0.59
"124"  0.45  0.25  0.3
"125"  0  0.18  0.82
"126"  0.51  0.29  0.2
"127"  0.74  0.12  0.14
"128"  0.28  0.46  0.26
"129"  0.77  0.05  0.19
"130"  0.09  0.38  0.53
"131"  0.23  0.19  0.57
"132"  0.73  0.16  0.12
"133"  0.08  0.36  0.56
"134"  0.07  0.39  0.54
"135"  0.41  0.11  0.48
"136"  0.3  0.26  0.44
"137"  0.3  0.47  0.23
"138"  0.41  0.18  0.41
"139"  0.22  0.32  0.46
"140"  0.48  0.2  0.32
"141"  0.27  0.28  0.46
"142"  0.47  0.3  0.23
"143"  0  0.16  0.84
"144"  0.13  0.19  0.68
"145"  0.87  0.08  0.05
"146"  0.51  0.3  0.19
"147"  0.69  0.17  0.14
"148"  0.43  0.17  0.4
"149"  0.08  0.3  0.62
"150"  0.75  0.06  0.18
"151"  0.04  0.3  0.66
"152"  0.31  0.46  0.23
"153"  0.25  0.16  0.59
"154"  0.69  0.16  0.14
"155"  0.11  0.41  0.48
"156"  0.43  0.23  0.34
"157"  0.72  0.05  0.23
"158"  0.18  0.3  0.52
"159"  0.32  0.28  0.4
"160"  0.6  0.29  0.11
"161"  0.63  0.22  0.15
"162"  0.2  0.44  0.36
"163"  0  0.19  0.81
"164"  0.43  0.18  0.38
"165"  0.72  0.16  0.12
"166"  0.18  0.2  0.62
"167"  0.95  0.03  0.02
"168"  0.3  0.22  0.48
"169"  0.06  0.31  0.62
"170"  0.08  0.31  0.61
"171"  0.45  0.21  0.34
"172"  0.18  0.2  0.61
"173"  0.04  0.35  0.6
"174"  0.19  0.12  0.69
"175"  0.21  0.38  0.41
"176"  0.33  0.11  0.56
"177"  0.27  0.55  0.18
"178"  0.54  0.21  0.25
"179"  0.45  0.19  0.36
"180"  0.28  0.34  0.38
"181"  0  0.15  0.85
"182"  0.57  0.26  0.17
"183"  0.79  0.13  0.08
"184"  0.77  0.11  0.12
"185"  0.24  0.11  0.66
"186"  0.13  0.15  0.72
"187"  0.15  0.19  0.66
"188"  0.06  0.28  0.66
"189"  0.08  0.32  0.6
"190"  0.79  0.1  0.12
"191"  0.27  0.24  0.48
"192"  0.66  0.17  0.17
"193"  0  0.16  0.84
"194"  0.17  0.59  0.24
"195"  0.4  0.45  0.16
"196"  0.43  0.33  0.23
